subo,f,fam,sp,name,code,group,clus,len,loglen,weight,logwt,wtpred,wtresid,gest,loggest,gestpred,gestresid,inter,loginter,interpred,interresid,long,loglong,longpred,longresid,neolen,logneo,loglen,neoresid,neopred,asm,logasm,asmpred,asmresid,lbathy,bathymean,Ice15sMean,latmean,ablat
Odontoceti,P,Phocoenidae,Phocoena spinipinnis,Burmeister?s porpoise,Psp,1,R,200,2.301029996,60000,4.77815125,4.842829,-0.064678131,11.5,1.06069784,1.060294,0.000403743,.,1.395926,.,0,8,0.903089987,1.375582,-0.47249196,86,1.934498451,2.301029996,0.032068814,1.90243,.,0.8214915,.,0,2.8733206,747,1.2,-37.9,37.9
Odontoceti,P,Phocoenidae,Phocoenoides dalli,Dall?s porpoise,Pda,1,R,239,2.378397901,102500,5.010723865,5.054276,-0.04355252,11.4,1.056904851,1.063702,-0.006796743,30,1.477121255,1.433455,0.04366593,22,1.342422681,1.423456,-0.08103302,100,2,2.378397901,0.036244851,1.963755,5,0.698970004,0.8484945,-0.149524464,3.629409599,4260,0.184,45.5,45.5
Odontoceti,Y,Physeteridae,Physeter macrocephalus,Sperm whale,Pma,2,B,2000,3.301029996,14025000,7.14690287,7.575836,-0.428933225,15,1.176091259,1.104337,0.071754396,60,1.77815125,1.494482,0.28366885,77,1.886490725,1.994362,-0.10787177,387.5,2.588271707,3.301029996,-0.106805892,2.695078,9,0.954242509,1.0096036,-0.055361121,3.604226053,4020,0.859,-13,13
Odontoceti,Z,Ziphiidae,Berardius bairdii,Baird?s beaked whale,Bba,2,B,1280,3.10720997,11380000,7.056142262,7.046125,0.010017599,17,1.230448921,1.0958,0.134648428,24,1.380211242,1.481662,-0.10145103,84,1.924279286,1.87443,0.04984885,460,2.662757832,3.10720997,0.121311282,2.541447,12,1.079181246,0.975759,0.103422289,3.611723308,4090,0.364,45.6,45.6
Odontoceti,Z,Ziphiidae,Hyperoodon ampullatus,Northern bottlenose whale,Ham,1,R,980,2.991226076,5800000,6.763427994,6.72914,0.034288092,12,1.079181246,1.090692,-0.011510996,24,1.380211242,1.473991,-0.09377932,37,1.568201724,1.802662,-0.23446013,300,2.477121255,2.991226076,0.027609102,2.449512,10,1,0.955506,0.044494043,3.505149978,3200,0.287,47.1,47.1
Odontoceti,Z,Ziphiidae,Mesoplodon carlhubbsi,Hubbs? beaked whale,.,3,R,540,2.73239376,3400000,6.531478917,6.021749,0.509729473,12,1.079181246,1.079293,-0.000111305,.,1.54165,.,0,.,1.666102,.,0,249,2.396199347,2.73239376,0.151850102,2.244349,.,0.9504078,.,0,3.704150517,5060,0.01,37.1,37.1
Odontoceti,Z,Ziphiidae,Mesoplodon europaeus,Gervais? beaked whale,.,3,R,671,2.82672252,5600000,6.748188027,6.279551,0.468637448,.,1.130434,.,0,.,1.573516,.,0,48,1.681241237,1.70087,-0.01962902,210,2.322219295,2.82672252,0.00310055,2.319119,.,0.9785986,.,0,3.629409599,4260,0.01,15,15
Odontoceti,Z,Ziphiidae,Mesoplodon densirostris,Blainville?s beaked whale,Mde,3,R,473,2.674861141,2300000,6.361727836,5.864512,0.497215426,.,1.105762,.,0,.,1.522214,.,0,27,1.431363764,1.606901,-0.17553762,190,2.278753601,2.674861141,0.080007469,2.198746,9,0.954242509,0.9002626,0.053979904,3.624282096,4210,0.0125,0.543,0.5
Odontoceti,Z,Ziphiidae,Ziphius cavirostris,Cuvier?s beaked whale,Zca,3,R,693,2.840733235,4775000,6.678973376,6.317842,0.361131419,12,1.079181246,1.084064,-0.004882875,.,1.578249,.,0,62,1.792391689,1.70954,0.08285188,270,2.431363764,2.840733235,0.101139455,2.330224,9,0.954242509,0.929227,0.025015473,3.617000341,4140,0.0363,-1.86,1.9
Odontoceti,Z,Ziphiidae,Mesoplodon bidens,Sowerby?s beaked whale,.,3,R,503,2.701567985,3400000,6.531478917,5.937502,0.593976523,12,1.079181246,1.077935,0.001246348,.,1.531236,.,0,.,1.644766,.,0,.,2.2158,2.701567985,0,.,.,0.9411953,.,0,3.482873584,3040,0.0433,48.8,48.8
